Price,Close,High,Low,Open,Volume
Ticker,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA
Date,,,,,
2024-10-09,25.386030197143555,25.847070028135924,25.309190225311493,25.7414143798633,19545500
2024-10-10,25.165115356445312,25.587734282986396,25.155510131022638,25.587734282986396,20486300
2024-10-11,25.28997802734375,25.41484228594181,25.13629809429569,25.241953735269725,12175400
2024-10-14,25.47247314453125,25.530102660312657,25.241953249396357,25.366817505590944,11953100
2024-10-15,25.42444610595703,25.683781665649807,25.376421816536535,25.61654692765743,14418700
2024-10-16,25.7029972076416,25.885492841220206,25.31879732011526,25.453266822747086,26028400
2024-10-17,25.66457176208496,25.77022739946478,25.45326231933457,25.626152696134547,12424800
2024-10-18,25.635761260986328,25.904700253709947,25.57812990653742,25.712601234908718,15980000
2024-10-21,25.568525314331055,25.895093814186836,25.49168534401039,25.635760059360464,25128900
2024-10-22,25.26116180419922,25.54931304641242,25.232347962384388,25.50128692337225,27391300
2024-10-23,25.28997802734375,25.395633668317785,25.126692869479022,25.26116235289375,12126400
2024-10-24,25.31879425048828,25.414842836717845,25.213138607224536,25.366818543603063,8727600
2024-10-25,25.328399658203125,25.453263920407796,25.213138789083196,25.318794433109016,7807800
2024-10-28,25.28037452697754,25.501289216802217,25.155510259862112,25.45326492145231,18192100
2024-10-29,25.13629913330078,25.40523994325617,25.117088682873383,25.32839997355597,13433400
2024-10-30,25.328399658203125,25.347608276381976,25.0594588515962,25.145904045433806,14377600
2024-10-31,25.28997802734375,25.41484228594181,25.193927611186385,25.28997802734375,11163300
2024-11-01,25.059459686279297,25.357214346076827,24.982619714976405,25.309190051016053,15216400
2024-11-04,25.203535079956055,25.37642547803045,25.117089880918858,25.23235075697161,12169700
2024-11-05,25.213136672973633,25.251557570125442,25.03064107552096,25.232347121549537,14050600
2024-11-06,25.26116180419922,25.328398376455453,24.915382878356358,25.069062808066356,12445400
2024-11-07,25.15550994873047,25.58773409756207,25.09787859661206,25.261163763595395,11667700
2024-11-08,24.963409423828125,25.09787891646597,24.87696422655824,25.069065072048968,15878800
2024-11-11,24.982620239257812,25.06906543778887,24.924990717573593,25.06906543778887,10515100
2024-11-12,24.924989700317383,25.05945918942898,24.7809131539728,24.982619219649585,15391500
2024-11-13,24.924989700317383,25.040248738981784,24.857753123752197,24.96340876920239,27198100
2024-11-14,24.36789894104004,24.77130923176943,23.81080871403368,24.761704006750946,80824400
2024-11-18,24.694467544555664,24.790517963170373,24.33908337729341,24.37750244553368,23386200
2024-11-19,24.82893943786621,24.924989858703157,24.627233370907685,24.752099467598537,29342400
2024-11-21,24.262243270874023,24.828938722268873,24.23342759585062,24.780912597229868,31594700
2024-11-22,24.58881378173828,24.58881378173828,24.22382255667914,24.454342462606796,13737200
2024-11-25,24.73288917541504,24.81933437152093,24.58881445924169,24.77131007679962,36581800
2024-11-26,25.12767219543457,25.23534883236471,24.67738960495127,24.824222061511367,22044000
2024-11-27,24.687179565429688,25.235349860263995,24.579504791165927,25.166827173120467,20884000
2024-11-28,23.962812423706055,24.677389320238234,23.894291607196426,24.657813277701354,26984000
2024-11-29,24.246686935424805,24.31520775313218,23.806193297231292,24.00196866244002,22743200
2024-12-02,24.050912857055664,24.39351883097588,23.94323621372442,24.276053232155217,21487000
2024-12-03,24.344572067260742,24.373937062028677,24.12921881468491,24.18795067127284,22179600
2024-12-04,24.638235092163086,24.7948546330173,24.276051237030085,24.364149962142104,19375200
2024-12-05,24.94168472290039,25.059150309729837,24.736122279764057,24.853585999541345,18238400
2024-12-06,24.207530975341797,24.814433110331613,23.982390613592447,24.716545428294257,33652400
2024-12-09,24.1487979888916,24.364149385708078,23.90407972871518,24.315206480493657,17774100
2024-12-10,24.305419921875,24.393518653586757,24.00196977211914,24.256477011836175,15266700
2024-12-11,24.824222564697266,25.108094794559566,24.148799598807646,24.37393996508676,29090900
2024-12-12,24.495471954345703,24.73204771177942,24.239181080424927,24.692617478805307,19824400
2024-12-13,24.160322189331055,24.633473698219888,24.15046463121208,24.49547164482822,17217300
2024-12-16,23.81531524658203,24.249038404422574,23.785742572137117,24.17017981937311,16061900
2024-12-17,24.071605682373047,24.14060670802541,23.667455206291834,23.90403095715862,27695800
2024-12-18,23.40130615234375,24.05188991976994,23.391448594638884,24.05188991976994,29428400
2024-12-19,23.549165725708008,23.70688288849824,23.411163678300774,23.47030714431289,16306300
2024-12-20,23.7364559173584,23.795599384257017,23.52945284314478,23.578738752204146,49200400
2024-12-23,23.578739166259766,23.78574224410847,23.53930893421033,23.72659877617126,12708100
2024-12-26,23.85474395751953,24.051889467499112,23.588595544903402,23.608310659942415,15208900
2024-12-27,23.766029357910156,24.02232022959168,23.766029357910156,23.992747555119475,10465000
2024-12-30,23.825172424316406,23.982889591897084,23.746313840526067,23.75617139851698,27146200
2025-01-02,23.578739166259766,23.933603734156915,23.499880582297838,23.825172476157906,14492900
2025-01-03,23.40130615234375,23.716740478351976,23.34216268625143,23.5787384307576,13778900
2025-01-06,23.618167877197266,23.706884020520146,23.47030826503812,23.63788299352168,12112300
2025-01-07,23.904029846191406,24.03217433357057,23.67731166383151,23.795598593698912,15724400
2025-01-08,23.81531524658203,23.923746506076412,23.60831216587855,23.884316273483194,16417000
2025-01-09,23.92374610900879,23.92374610900879,23.647740125848106,23.815314851314067,8286700
2025-01-10,23.864601135253906,24.091321212182603,23.785742550276915,23.904031367810887,17167200
2025-01-13,23.864601135253906,24.081463654043358,23.81531522469465,23.864601135253906,9941700
2025-01-14,24.298324584960938,24.318039701476565,23.825173069407835,23.904031655333352,18049200
2025-01-15,24.90947914123535,25.00805284013572,24.396897411062984,24.5546145772488,19626500
2025-01-16,25.01791000366211,25.09676859143826,24.751763445003252,24.9193381790447,13590200
2025-01-17,24.988338470458984,25.126340524957968,24.830621299563866,25.07705461410461,13271300
2025-01-20,25.067197799682617,25.23477253374796,24.899623065617273,24.98833921189522,10499700
2025-01-21,25.293914794921875,25.38263093695715,25.086911716930874,25.086911716930874,10675500
2025-01-22,25.75720977783203,25.90507127393414,25.205199667498423,25.215057225914364,19236600
2025-01-23,26.338790893554688,26.683797895691402,25.86563940040903,25.86563940040903,30067700
2025-01-24,26.240219116210938,26.466937305340917,26.131787860480554,26.32893337619218,9081200
2025-01-27,27.314666748046875,27.314666748046875,26.171216358053837,26.190931473776423,21719600
2025-01-28,27.137237548828125,27.304812279617927,26.930232584846838,27.294954721320057,13016900
2025-01-29,27.048521041870117,27.354097824461785,26.959804898514957,27.20623821224885,11592900
2025-01-30,27.24566650390625,27.541387607808442,26.89080381141538,26.979519954572343,22311000
2025-01-31,27.28509521484375,27.60052953730534,27.265380099655683,27.344238680271083,19675000
2025-02-03,27.216094970703125,27.324524347066827,26.969661664210374,27.206237412826983,13290300
2025-02-04,27.373811721801758,27.679388490785694,27.07809063040775,27.186521885265908,16154100
2025-02-05,27.43295669555664,27.718820244932964,27.19638093752296,27.423099137288112,13663000
2025-02-06,27.748390197753906,27.78782042963176,27.18652255445307,27.43295586327884,13960200
2025-02-07,27.383670806884766,27.87653743989476,27.275239545978728,27.748391062435445,15270100
2025-02-10,27.423097610473633,27.699103586214456,27.40338249503424,27.48224107665492,10942700
2025-02-11,27.6596736907959,27.817390855950073,27.46252817442164,27.46252817442164,18486400
2025-02-12,27.20623779296875,27.58081559681131,27.107664092966935,27.255523702901183,18063900
2025-02-13,27.058378219604492,27.19638027171138,26.890803493416012,27.19638027171138,19004600
2025-02-14,28.33983039855957,28.566548590515183,27.166807326928677,27.166807326928677,35295700
2025-02-17,28.743980407714844,29.079129851327536,28.300399708775426,28.329972382083685,21145100
2025-02-18,29.029844284057617,29.207274685583368,28.586263579900937,28.605978695671663,27342000
2025-02-19,28.448261260986328,28.87212684536739,28.25111386541568,28.862269287575167,22819400
2025-02-20,27.60053062438965,27.90610740129276,27.393527547172457,27.699104324075574,88971000
2025-02-21,27.5808162689209,27.649817296562553,27.24566680882973,27.600531385429086,20157500
2025-02-24,27.413240432739258,27.817390904164437,27.235808151599052,27.600530271735803,28014300
2025-02-25,27.82724952697754,27.925823229176423,27.423099040085408,27.423099040085408,16895800
2025-02-26,27.669530868530273,28.09339644911069,27.531528820950378,28.07368133370302,22481400
2025-02-27,27.561100006103516,27.866678658859907,27.472385745780436,27.630102911012223,31089200
2025-02-28,26.920373916625977,27.620245485823197,26.811944540093926,27.551244460720003,28266200
2025-03-05,27.373811721801758,27.541386442883958,26.861230000828325,26.920373467052368,18081300
2025-03-06,27.334383010864258,27.551245532639545,27.087949694401065,27.521672857814643,17819500
2025-03-07,27.6596736907959,27.846963529467825,27.107663612756287,27.235808104392714,16830600
2025-03-10,27.570959091186523,27.600531766356944,27.24566718485994,27.561101532796382,14457100
